memory_r,posterize_r,gaussian-blur,thread,quality,6003,6621,6979,5743
4,2,2,0,0,2.404,2.591,2.995,2.64
0,0,1,2,0,0.93,0.991,1.177,0.99
1,0,1,1,0,0.958,0.981,1.163,1.007
2,1,2,1,1,2.395,2.7,3.157,2.669
1,0,2,0,2,2.4,2.675,3.193,2.686
1,2,0,1,1,0.406,0.415,0.4,0.396
3,1,2,2,2,2.567,2.722,3.341,2.81
0,3,2,3,2,2.601,2.959,3.394,2.947
4,2,1,1,2,1.148,1.278,1.347,1.225
1,0,1,3,0,0.907,1.062,1.205,1.024
2,3,2,1,1,2.391,2.621,3.154,2.624
1,2,1,3,1,1.008,1.076,1.203,1.059
1,2,2,2,2,2.569,2.946,3.304,2.907
2,0,2,3,2,2.44,2.705,3.206,2.708
1,2,2,3,2,2.595,2.939,3.295,2.927
3,2,0,1,0,0.343,0.4,0.351,0.393
3,1,0,3,1,0.374,0.344,0.412,0.364
0,1,0,0,2,0.535,0.499,0.581,0.522
3,1,2,3,1,2.472,2.729,3.289,2.717
4,0,1,3,1,0.949,1.006,1.196,1.009
2,1,2,2,0,2.446,2.632,3.129,2.733
1,1,1,1,2,1.026,1.091,1.321,1.136
2,1,0,0,1,0.369,0.38,0.397,0.339
3,3,1,0,1,0.949,1.001,1.191,0.97
1,1,0,2,1,0.43,0.433,0.443,0.382
4,3,1,3,1,1.027,1.104,1.32,1.037
4,3,0,1,0,0.344,0.357,0.308,0.312
4,3,1,2,2,1.162,1.441,1.585,1.415
4,0,2,2,2,2.46,2.752,3.157,2.757
1,2,1,0,0,0.93,0.994,1.142,0.996
1,3,1,0,0,0.844,0.928,1.138,0.927
0,2,2,0,2,2.519,2.895,3.33,2.917
4,1,1,1,0,0.929,1.028,1.143,1.05
0,3,0,0,2,0.419,0.592,0.529,0.539
2,2,0,1,0,0.326,0.374,0.349,0.355
0,3,2,0,1,2.434,2.674,3.249,2.687
1,3,1,0,2,1.072,1.335,1.429,1.303
3,1,1,2,1,0.989,1.057,1.265,1.054
1,2,0,2,1,0.392,0.442,0.421,0.454
2,2,1,2,0,0.965,1.05,1.235,1.062
1,3,2,1,2,2.606,3.047,3.462,2.98
0,0,2,2,2,2.465,2.736,3.137,2.696
2,1,0,2,2,0.563,0.493,0.581,0.489
3,3,1,2,1,1,1.002,1.181,1.054
4,2,2,3,1,2.447,2.728,3.177,2.695
0,2,0,3,1,0.405,0.449,0.402,0.439
0,1,2,0,0,2.488,2.662,3.143,2.614
3,2,1,1,1,0.982,0.999,1.191,1.043
0,1,0,0,1,0.347,0.369,0.401,0.4
3,1,2,2,1,2.434,2.729,3.108,2.71
0,0,2,2,1,2.429,2.647,3.145,2.658
3,0,2,0,2,2.407,2.697,3.129,2.72
1,2,1,2,0,0.927,1.017,1.175,1.035
0,0,2,3,2,2.454,2.651,3.153,2.699
1,1,0,2,2,0.555,0.48,0.59,0.498
3,3,2,0,0,2.337,2.577,3.16,2.59
3,2,1,3,0,0.934,1.016,1.124,1.022
3,1,2,2,0,2.358,2.612,3.058,2.634
3,0,1,1,1,0.924,0.992,1.147,0.98
2,3,2,2,1,2.387,2.599,3.103,2.619
0,2,2,0,0,2.38,2.607,3.036,2.602
4,1,0,0,2,0.537,0.479,0.59,0.488
3,2,2,0,1,2.502,2.675,3.258,2.698
3,1,0,0,1,0.367,0.394,0.401,0.354
2,2,2,2,0,2.384,2.626,3.082,2.715
4,2,2,3,2,2.543,2.939,3.221,2.871
2,2,1,2,2,1.101,1.392,1.367,1.299
2,2,2,0,1,2.496,2.653,3.057,2.637
1,1,1,1,1,0.914,1.003,1.2,1.057
0,1,1,2,1,0.963,1.054,1.254,1.116
4,0,0,2,1,0.361,0.365,0.352,0.392
2,0,1,3,2,1.064,1.054,1.28,1.129
1,3,0,0,1,0.361,0.36,0.376,0.346
2,0,0,1,0,0.288,0.381,0.358,0.359
3,3,0,0,1,0.392,0.393,0.392,0.415
0,2,0,1,1,0.417,0.456,0.435,0.377
2,3,1,2,1,0.948,1.085,1.346,1.053
3,1,0,0,0,0.36,0.374,0.381,0.351
4,0,1,1,0,0.909,1.039,1.213,1.022
0,1,0,0,0,0.336,0.336,0.41,0.351
0,0,1,0,2,0.981,1.08,1.338,1.189
1,0,0,2,0,0.342,0.372,0.417,0.408
2,3,2,0,1,2.497,2.653,3.253,2.685
3,2,2,2,1,2.466,2.72,3.149,2.733
0,0,2,0,1,2.377,2.612,3.078,2.63
3,0,1,2,0,0.925,0.986,1.146,1.004
2,2,2,1,0,2.398,2.678,3.042,2.68
3,2,1,2,2,1.104,1.307,1.347,1.267
4,3,1,0,2,1.07,1.347,1.415,1.313
0,2,2,2,2,2.643,2.959,3.29,2.959
4,2,1,2,2,1.078,1.315,1.327,1.27
2,0,0,1,1,0.356,0.353,0.383,0.356
4,1,1,0,0,0.972,1.087,1.231,1.048
4,1,0,1,2,0.535,0.463,0.633,0.505
1,3,0,3,2,0.464,0.607,0.559,0.569
3,0,1,1,2,0.994,1.133,1.327,1.119
3,0,0,3,2,0.488,0.456,0.472,0.535
0,3,2,1,2,2.635,3.037,3.511,3.044
0,3,2,1,1,2.38,2.585,3.12,2.581
2,2,1,3,1,0.967,1.032,1.243,1.056
